Year,Quarter,Tasking_Location_Type,Caernarfon,Humberside,Inverness,Lee_On_Solent,Lydd,Newquay,Portland,Prestwick,St_Athan,Stornoway,Sumburgh,Total
2019,Oct to Dec,Vessel,6,4,4,8,4,8,[x],2,2,0,20,58
2019,Oct to Dec,Total,48,36,50,60,41,63,[x],72,46,19,72,507
2020,Jan to Mar,Beach/Cliff,6,10,3,12,27,10,[x],9,17,0,0,94
2020,Jan to Mar,Mountain,21,1,29,0,0,0,[x],20,5,3,0,79
2020,Jan to Mar,Other,13,13,22,44,11,23,[x],44,24,19,30,243
2020,Jan to Mar,Vessel,1,2,9,5,9,5,[x],1,1,5,3,41
2020,Jan to Mar,Total,41,26,63,61,47,38,[x],74,47,27,33,457
2020,Apr to Jun,Beach/Cliff,13,14,6,25,40,30,[x],17,25,1,1,172
2020,Apr to Jun,Mountain,1,1,4,0,0,0,[x],3,1,0,0,10
2020,Apr to Jun,Other,11,17,8,34,17,32,[x],36,14,14,10,193
2020,Apr to Jun,Vessel,2,8,4,13,17,7,[x],1,3,3,6,64
2020,Apr to Jun,Total,27,40,22,72,74,69,[x],57,43,18,17,439
2020,Jul to Sep,Beach/Cliff,23,23,12,36,45,38,[x],27,50,8,3,265
2020,Jul to Sep,Mountain,62,6,39,1,0,0,[x],44,7,18,0,177
2020,Jul to Sep,Other,29,25,37,41,21,41,[x],69,36,27,32,358
2020,Jul to Sep,Vessel,6,14,11,15,8,8,[x],3,6,7,5,83
2020,Jul to Sep,Total,120,68,99,93,74,87,[x],143,99,60,40,883
2020,Oct to Dec,Beach/Cliff,8,13,4,11,15,17,[x],11,16,2,0,97
2020,Oct to Dec,Mountain,14,4,20,0,0,0,[x],18,4,3,0,63
2020,Oct to Dec,Other,14,11,17,28,15,31,[x],36,19,21,26,218
2020,Oct to Dec,Vessel,2,10,7,11,8,5,[x],5,3,2,4,57
2020,Oct to Dec,Total,38,38,48,50,38,53,[x],70,42,28,30,435
2021,Jan to Mar,Beach/Cliff,9,7,3,9,12,12,[x],9,21,3,0,85
2021,Jan to Mar,Mountain,5,1,11,0,0,1,[x],12,4,2,0,36
2021,Jan to Mar,Other,15,19,20,27,19,28,[x],56,20,25,29,258
2021,Jan to Mar,Vessel,4,5,4,1,3,5,[x],3,2,3,12,42
2021,Jan to Mar,Total,33,32,38,37,34,46,[x],80,47,33,41,421
2021,Apr to Jun,Beach/Cliff,16,11,9,24,30,22,[x],18,31,5,1,167
2021,Apr to Jun,Mountain,39,2,35,0,0,1,[x],30,10,8,0,125
2021,Apr to Jun,Other,18,15,37,30,16,32,[x],46,29,18,32,273
2021,Apr to Jun,Vessel,6,12,5,13,8,14,[x],10,8,8,16,100
2021,Apr to Jun,Total,79,40,86,67,54,69,[x],104,78,39,49,665
2021,Jul to Sep,Beach/Cliff,30,20,21,34,50,36,[x],30,37,12,1,271
2021,Jul to Sep,Mountain,77,3,74,0,0,1,[x],44,13,15,0,227
2021,Jul to Sep,Other,28,27,38,31,32,44,[x],80,20,26,45,371
2021,Jul to Sep,Vessel,6,11,2,24,16,23,[x],10,9,2,6,109
2021,Jul to Sep,Total,141,61,135,89,98,104,[x],164,79,55,52,978
2021,Oct to Dec,Beach/Cliff,9,7,10,14,17,16,[x],15,11,2,1,102
2021,Oct to Dec,Mountain,28,6,20,0,0,0,[x],13,2,1,0,70
2021,Oct to Dec,Other,15,28,26,40,31,42,[x],74,24,27,32,339
2021,Oct to Dec,Vessel,5,10,5,6,12,6,[x],1,2,1,2,50
2021,Oct to Dec,Total,57,51,61,60,60,64,[x],103,39,31,35,561
2022,Jan to Mar,Beach/Cliff,13,7,7,16,16,15,[x],7,22,3,0,106
2022,Jan to Mar,Mountain,29,3,36,0,0,0,[x],27,12,4,0,111
2022,Jan to Mar,Other,17,23,38,25,21,36,[x],55,20,24,30,289
2022,Jan to Mar,Vessel,1,11,3,3,3,6,[x],3,0,3,4,37
2022,Jan to Mar,Total,60,44,84,44,40,57,[x],92,54,34,34,543
2022,Apr to Jun,Beach/Cliff,23,9,9,25,30,23,[x],19,34,8,4,184
2022,Apr to Jun,Mountain,37,2,42,0,0,0,[x],27,3,14,0,125
2022,Apr to Jun,Other,18,17,39,29,22,48,[x],55,26,32,44,330
2022,Apr to Jun,Vessel,11,14,9,10,11,15,[x],11,8,10,15,114
2022,Apr to Jun,Total,89,42,99,64,63,86,[x],112,71,64,63,753
2022,Jul to Sep,Beach/Cliff,33,20,14,30,43,26,[x],28,47,11,1,253
2022,Jul to Sep,Mountain,54,1,43,0,0,0,[x],27,5,7,0,137
2022,Jul to Sep,Other,31,31,37,36,23,31,[x],55,27,28,45,344
2022,Jul to Sep,Vessel,10,17,2,9,17,20,[x],15,4,9,8,111
2022,Jul to Sep,Total,128,69,96,75,83,77,[x],125,83,55,54,845
2022,Oct to Dec,Beach/Cliff,5,11,2,15,23,13,[x],5,14,3,2,93
2022,Oct to Dec,Mountain,23,1,14,0,0,0,[x],13,5,2,0,58
2022,Oct to Dec,Other,28,19,38,21,25,27,[x],52,20,34,50,314
2022,Oct to Dec,Vessel,6,13,1,6,8,7,[x],4,1,3,8,57
2022,Oct to Dec,Total,62,44,55,42,56,47,[x],74,40,42,60,522
2023,Jan to Mar,Beach/Cliff,7,6,4,8,21,11,[x],9,13,0,1,80
2023,Jan to Mar,Mountain,29,0,33,0,0,0,[x],24,4,7,0,97
2023,Jan to Mar,Other,18,18,24,21,10,20,[x],51,14,22,54,252
2023,Jan to Mar,Vessel,4,5,1,4,0,8,[x],1,1,2,5,31
2023,Jan to Mar,Total,58,29,62,33,31,39,[x],85,32,31,60,460
