,Cluster,Day_of_week,Name_of_the_Base,Type_of_tasking,Tasking_location,Region,Time_of_day,MonthYear,Tasking_complnotcompl
55,0,Friday,Lee On Solent,Pre-arranged Transfer,Land,South East,12:00am - 2:59am,04/2015,Yes
56,0,Friday,Lee On Solent,Pre-arranged Transfer,Land,South East,9:00pm - 11:59pm,04/2015,Yes
57,0,Friday,Stornoway,Rescue/Recovery,Land,Highlands and Islands,3:00pm - 5:59pm,04/2015,Yes
58,0,Friday,Stornoway,Rescue/Recovery,Maritime,Highlands and Islands,6:00pm - 8:59pm,04/2015,Yes
59,0,Saturday,Lee On Solent,Pre-arranged Transfer,Land,South East,12:00am - 2:59am,04/2015,Yes
60,1,Saturday,Lee On Solent,Rescue/Recovery,Coast,South East,6:00pm - 8:59pm,04/2015,Yes
61,1,Saturday,Lee On Solent,Search Only,Maritime,SouthEast,9:00pm - 11:59pm,04/2015,Yes
62,1,Saturday,Portland,Rescue/Recovery,Coast,South West,9:00am - 11:59am,04/2015,Yes
63,1,Saturday,Inverness,Rescue/Recovery,Maritime,Yorkshire and the Humber,6.00am - 8.59am,04/2015,Yes
64,0,Sunday,Portland,Aborted/Not Required,Coast,South West,12:00pm - 2:59pm,04/2015,No
65,0,Sunday,Portland,Rescue/Recovery,Coast,South West,12:00pm - 2:59pm,04/2015,Yes
66,0,Sunday,Lee On Solent,Search Only,Coast,South East,3:00am - 5:59am,04/2015,Yes
67,0,Sunday,Humberside,Rescue/Recovery,Maritime,East of England,9:00pm - 11:59pm,04/2015,Yes
68,0,Monday,Humberside,Rescue/Recovery,Maritime,Yorkshire and the Humber,6:00pm - 8:59pm,04/2015,Yes
69,0,Monday,Lee On Solent,Pre-arranged Transfer,Land,South East,6:00pm - 8:59pm,04/2015,Yes
70,0,Monday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,9:00am - 11:59am,04/2015,Yes
71,0,Tuesday,Humberside,Rescue/Recovery,Land,East Midlands,9:00am - 11:59am,04/2015,Yes
72,0,Tuesday,Inverness,Search Only,Land,Highlands and Islands,12:00am - 2:59am,04/2015,Yes
73,0,Wednesday,Inverness,Rescue/Recovery,Land,Highlands and Islands,3:00pm - 5:59pm,04/2015,Yes
74,0,Friday,Sumburgh,Aborted/Not Required,Land,Highlands and Islands,12:00pm - 2:59pm,04/2015,No
75,0,Friday,Stornoway,Search Only,Land,Highlands and Islands,12:00am - 2:59am,04/2015,Yes
76,0,Friday,Stornoway,Search Only,Land,Highlands and Islands,3:00am - 5:59am,04/2015,Yes
77,1,Friday,Stornoway,Search Only,Coast,Highlands and Islands,3:00pm - 5:59pm,04/2015,Yes
78,1,Saturday,Humberside,Aborted/Not Required,Coast,East of England,9:00am - 11:59am,04/2015,No
79,0,Saturday,Inverness,Rescue/Recovery,Coast,Highlands and Islands,12:00pm - 2:59pm,04/2015,Yes
80,1,Saturday,Portland,Rescue/Recovery,Maritime,South West,9:00am - 11:59am,04/2015,Yes
81,0,Sunday,Lee On Solent,Pre-arranged Transfer,Land,South East,12:00am - 2:59am,04/2015,Yes
82,0,Sunday,Lee On Solent,Pre-arranged Transfer,Land,South East,6.00am - 8.59am,04/2015,Yes
83,0,Sunday,Inverness,Rescue/Recovery,Land,Highlands and Islands,9:00am - 11:59am,04/2015,Yes
84,1,Sunday,Portland,Rescue/Recovery,Coast,South West,9:00am - 11:59am,04/2015,Yes
85,0,Sunday,Portland,Rescue/Recovery,Land,South West,12:00pm - 2:59pm,04/2015,Yes
86,1,Monday,Portland,Rescue/Recovery,Coast,South West,12:00pm - 2:59pm,04/2015,Yes
87,1,Monday,Portland,Rescue/Recovery,Maritime,South East,3:00pm - 5:59pm,04/2015,Yes
88,0,Monday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,3:00am - 5:59am,04/2015,Yes
89,0,Monday,Inverness,Search Only,Land,Highlands and Islands,12:00pm - 2:59pm,04/2015,Yes
90,0,Monday,Lee On Solent,Pre-arranged Transfer,Land,South East,6:00pm - 8:59pm,04/2015,Yes
91,1,Tuesday,Lee On Solent,Aborted/Not Required,Coast,South East,6:00pm - 8:59pm,04/2015,Yes
92,0,Tuesday,Portland,Aborted/Not Required,Land,South East,3:00pm - 5:59pm,04/2015,No
93,0,Tuesday,Humberside,Aborted/Not Required,Land,East of England,3:00pm - 5:59pm,04/2015,No
94,0,Tuesday,Inverness,Rescue/Recovery,Land,North Eastern Scotland,3:00am - 5:59am,04/2015,Yes
95,0,Tuesday,Inverness,Rescue/Recovery,Land,Highlands and Islands,6:00pm - 8:59pm,04/2015,Yes
96,0,Wednesday,Humberside,Rescue/Recovery,Maritime,East of England,12:00am - 2:59am,04/2015,Yes
97,0,Wednesday,Sumburgh,Search Only,Coast,Highlands and Islands,3:00am - 5:59am,04/2015,Yes
98,0,Wednesday,Lee On Solent,Rescue/Recovery,Coast,South East,12:00pm - 2:59pm,04/2015,Yes
99,0,Thursday,Lee On Solent,Pre-arranged Transfer,Land,South East,6.00am - 8.59am,04/2015,Yes
100,0,Thursday,Sumburgh,Rescue/Recovery,Maritime,North Eastern Scotland,12:00pm - 2:59pm,04/2015,Yes
101,0,Thursday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,9:00pm - 11:59pm,04/2015,Yes
102,0,Thursday,Stornoway,Pre-arranged Transfer,Land,Highlands and Islands,6.00am - 8.59am,04/2015,Yes
103,0,Friday,Stornoway,Rescue/Recovery,Land,Highlands and Islands,6:00pm - 8:59pm,05/2015,Yes
104,0,Friday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,12:00am - 2:59am,05/2015,Yes
105,1,Friday,Inverness,Rescue/Recovery,Maritime,North Eastern Scotland,3:00pm - 5:59pm,05/2015,Yes
106,0,Friday,Lee On Solent,Rescue/Recovery,Maritime,South East,6.00am - 8.59am,05/2015,Yes
107,0,Friday,Lee On Solent,Pre-arranged Transfer,Land,South East,9:00pm - 11:59pm,05/2015,Yes
108,1,Saturday,Portland,Aborted/Not Required,Land,South West,9:00am - 11:59am,05/2015,No
109,1,Saturday,Portland,Pre-arranged Transfer,Land,South West,3:00pm - 5:59pm,05/2015,Yes
110,0,Sunday,Portland,Rescue/Recovery,Land,South West,12:00pm - 2:59pm,05/2015,Yes
111,0,Sunday,Portland,Aborted/Not Required,Coast,South West,12:00pm - 2:59pm,05/2015,No
112,0,Sunday,Inverness,Search Only,Land,Eastern Scotland,9:00am - 11:59am,05/2015,Yes
113,0,Sunday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,12:00pm - 2:59pm,05/2015,Yes
114,0,Monday,Humberside,Rescue/Recovery,Land,East Midlands,9:00am - 11:59am,05/2015,Yes
115,0,Tuesday,Inverness,Search Only,Land,Highlands and Islands,9:00am - 11:59am,05/2015,Yes
116,0,Tuesday,Lee On Solent,Pre-arranged Transfer,Land,South East,3:00am - 5:59am,05/2015,Yes
117,0,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,12:00pm - 2:59pm,05/2015,Yes
118,0,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,3:00pm - 5:59pm,05/2015,Yes
119,0,Thursday,Humberside,Aborted/Not Required,Land,East Midlands,3:00pm - 5:59pm,05/2015,No
120,0,Friday,Inverness,Search Only,Land,Highlands and Islands,3:00am - 5:59am,05/2015,Yes
121,0,Friday,Lee On Solent,Pre-arranged Transfer,Land,South East,6.00am - 8.59am,05/2015,Yes
122,0,Saturday,Inverness,Rescue/Recovery,Land,Highlands and Islands,9:00am - 11:59am,05/2015,Yes
123,1,Saturday,Portland,Aborted/Not Required,Coast,South West,12:00pm - 2:59pm,05/2015,No
124,1,Saturday,Portland,Rescue/Recovery,Coast,South West,3:00pm - 5:59pm,05/2015,Yes
125,1,Saturday,Sumburgh,Rescue/Recovery,Maritime,North Eastern Scotland,12:00am - 2:59am,05/2015,Yes
126,0,Saturday,Stornoway,Rescue/Recovery,Land,Highlands and Islands,9:00am - 11:59am,05/2015,Yes
127,0,Saturday,Stornoway,Rescue/Recovery,Land,Highlands and Islands,3:00pm - 5:59pm,05/2015,Yes
128,0,Sunday,Humberside,Rescue/Recovery,Maritime,Yorkshire and the Humber,6:00pm - 8:59pm,05/2015,Yes
129,0,Sunday,Lee On Solent,Aborted/Not Required,Coast,South East,9:00am - 11:59am,05/2015,Yes
130,0,Monday,Inverness,Rescue/Recovery,Maritime,North Eastern Scotland,12:00am - 2:59am,05/2015,Yes
131,0,Tuesday,Humberside,Rescue/Recovery,Maritime,East Midlands,6.00am - 8.59am,05/2015,Yes
132,1,Tuesday,Portland,Aborted/Not Required,Coast,South West,6:00pm - 8:59pm,05/2015,No
133,1,Wednesday,Lee On Solent,Rescue/Recovery,Coast,South East,6.00am - 8.59am,05/2015,Yes
134,0,Wednesday,Stornoway,Rescue/Recovery,Coast,Highlands and Islands,6.00am - 8.59am,05/2015,Yes
135,0,Wednesday,Stornoway,Rescue/Recovery,Coast,Highlands and Islands,6:00pm - 8:59pm,05/2015,Yes
136,0,Friday,Lee On Solent,Pre-arranged Transfer,Land,South East,12:00am - 2:59am,05/2015,Yes
