Date,Day_of_week,Name_of_the_Base,Type_of_tasking,Tasking_location,Tasking_outcome,Region,Latitude,Longitude,Time_of_day,Tasking_duration
18/04/2015,Saturday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,12.00am - 2.59am,0
18/04/2015,Saturday,Lee On Solent,Rescue/Recovery,Coast,Completed,South East,50.88,0.67,6.00pm - 8.59pm,2
18/04/2015,Saturday,Lee On Solent,Search only,Maritime,Completed,SouthEast,50.79,-1.25,9.00pm - 11.59pm,3
18/04/2015,Saturday,Portland,Rescue/Recovery,Coast,Completed,South West,51.4,-2.93,9.00am - 11.59am,1
18/04/2015,Saturday,Inverness,Rescue/Recovery,Maritime,Completed,Yorkshire and the Humber,56.96,1.87,6.00am - 8.59am,3
19/04/2015,Sunday,Portland,Aborted/Not Required,Coast,Stood down,South West,50.38,-3.47,12.00pm - 2.59pm,0
19/04/2015,Sunday,Portland,Rescue/Recovery,Coast,Completed,South West,50.58,-2.03,12.00pm - 2.59pm,1
19/04/2015,Sunday,Lee On Solent,Search only,Coast,Completed,South East,50.79,-1.25,3.00am - 5.59am,2
19/04/2015,Sunday,Humberside,Rescue/Recovery,Maritime,Completed,East of England,53.37,1.77,9.00pm - 11.59pm,2
20/04/2015,Monday,Humberside,Rescue/Recovery,Maritime,Completed,Yorkshire and the Humber,53.83,0.39,6.00pm - 8.59pm,1
20/04/2015,Monday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00pm - 8.59pm,0
20/04/2015,Monday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.05,1.71,9.00am - 11.59am,2
21/04/2015,Tuesday,Humberside,Rescue/Recovery,Land,Completed,East Midlands,53.35,-1.81,9.00am - 11.59am,1
21/04/2015,Tuesday,Inverness,Search only,Land,Completed,Highlands and Islands,58.65,-3.25,12.00am - 2.59am,2
22/04/2015,Wednesday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,57.03,-4.85,3.00pm - 5.59pm,2
24/04/2015,Friday,Sumburgh,Aborted/Not Required,Land,Stood down,Highlands and Islands,60.5,-1.5,12.00pm - 2.59pm,0
24/04/2015,Friday,Stornoway,Search only,Land,Completed,Highlands and Islands,57.2,-6.23,12.00am - 2.59am,1
24/04/2015,Friday,Stornoway,Search only,Land,Completed,Highlands and Islands,57.2,-6.22,3.00am - 5.59am,3
24/04/2015,Friday,Stornoway,Search only,Coast,Completed,Highlands and Islands,57.89,-5.45,3.00pm - 5.59pm,1
25/04/2015,Saturday,Humberside,Aborted/Not Required,Coast,Stood down,East of England,52.94,0.49,9.00am - 11.59am,0
25/04/2015,Saturday,Inverness,Rescue/Recovery,Coast,Completed,Highlands and Islands,56.68,-5.65,12.00pm - 2.59pm,2
25/04/2015,Saturday,Portland,Rescue/Recovery,Maritime,Completed,South West,50.34,-2.2,9.00am - 11.59am,1
26/04/2015,Sunday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,12.00am - 2.59am,0
26/04/2015,Sunday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00am - 8.59am,1
26/04/2015,Sunday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,56.65,-5.07,9.00am - 11.59am,4
26/04/2015,Sunday,Portland,Rescue/Recovery,Coast,Completed,South West,50.6,-1.94,9.00am - 11.59am,1
26/04/2015,Sunday,Portland,Rescue/Recovery,Land,Completed,South West,50.32,-3.94,12.00pm - 2.59pm,1
27/04/2015,Monday,Portland,Rescue/Recovery,Coast,Completed,South West,50.71,-2.78,12.00pm - 2.59pm,1
27/04/2015,Monday,Portland,Rescue/Recovery,Maritime,Completed,South East,50.23,-0.98,3.00pm - 5.59pm,2
27/04/2015,Monday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,59.35,1.55,3.00am - 5.59am,2
27/04/2015,Monday,Inverness,Search only,Land,Completed,Highlands and Islands,57.47,-4.28,12.00pm - 2.59pm,1
27/04/2015,Monday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00pm - 8.59pm,0
28/04/2015,Tuesday,Lee On Solent,Aborted/Not Required,Coast,Not Required,South East,50.67,-1,6.00pm - 8.59pm,0
28/04/2015,Tuesday,Portland,Aborted/Not Required,Land,Stood down,South East,50.75,0.25,3.00pm - 5.59pm,0
28/04/2015,Tuesday,Humberside,Aborted/Not Required,Land,Stood down,East of England,52.6,-0.48,3.00pm - 5.59pm,0
28/04/2015,Tuesday,Inverness,Rescue/Recovery,Land,Completed,North Eastern Scotland,57.07,-2.77,3.00am - 5.59am,2
28/04/2015,Tuesday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,57.23,-5.12,6.00pm - 8.59pm,1
29/04/2015,Wednesday,Humberside,Rescue/Recovery,Maritime,Completed,East of England,53.46,1.73,12.00am - 2.59am,2
29/04/2015,Wednesday,Sumburgh,Search only,Coast,Completed,Highlands and Islands,60.13,-1.27,3.00am - 5.59am,2
29/04/2015,Wednesday,Lee On Solent,Rescue/Recovery,Coast,Completed,South East,50.76,-0.94,12.00pm - 2.59pm,0
30/04/2015,Thursday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00am - 8.59am,0
30/04/2015,Thursday,Sumburgh,Rescue/Recovery,Maritime,Completed,North Eastern Scotland,58.19,0.14,12.00pm - 2.59pm,2
30/04/2015,Thursday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.63,1.34,9.00pm - 11.59pm,3
30/04/2015,Thursday,Stornoway,Pre-arranged transfer,Land,Completed,Highlands and Islands,56.62,-6.62,6.00am - 8.59am,4
01/05/2015,Friday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,57.25,-6.18,6.00pm - 8.59pm,1
01/05/2015,Friday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.26,1.58,12.00am - 2.59am,2
01/05/2015,Friday,Inverness,Rescue/Recovery,Maritime,Completed,North Eastern Scotland,58.06,1.08,3.00pm - 5.59pm,4
01/05/2015,Friday,Lee On Solent,Rescue/Recovery,Maritime,Completed,South East,50.62,0.61,6.00am - 8.59am,1
01/05/2015,Friday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,9.00pm - 11.59pm,0
02/05/2015,Saturday,Portland,Aborted/Not Required,Land,Stood down,South West,50.4,-3.5,9.00am - 11.59am,0
02/05/2015,Saturday,Portland,Pre-arranged transfer,Land,Completed,South West,49.43,-2.6,3.00pm - 5.59pm,5
03/05/2015,Sunday,Portland,Rescue/Recovery,Land,Completed,South West,50.65,-2.07,12.00pm - 2.59pm,1
03/05/2015,Sunday,Portland,Aborted/Not Required,Coast,Stood down,South West,50.71,-1.97,12.00pm - 2.59pm,0
03/05/2015,Sunday,Inverness,Search only,Land,Completed,Eastern Scotland,56.46,-3.23,9.00am - 11.59am,5
03/05/2015,Sunday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.03,-1.13,12.00pm - 2.59pm,5
04/05/2015,Monday,Humberside,Rescue/Recovery,Land,Completed,East Midlands,53.13,-1.56,9.00am - 11.59am,2
05/05/2015,Tuesday,Inverness,Search only,Land,Completed,Highlands and Islands,56.83,-5.1,9.00am - 11.59am,2
05/05/2015,Tuesday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,3.00am - 5.59am,1
06/05/2015,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,59.55,1.54,12.00pm - 2.59pm,2
06/05/2015,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,60.32,-4.28,3.00pm - 5.59pm,2
07/05/2015,Thursday,Humberside,Aborted/Not Required,Land,Stood down,East Midlands,53.09,-0.17,3.00pm - 5.59pm,0
08/05/2015,Friday,Inverness,Search only,Land,Completed,Highlands and Islands,57.55,-2.95,3.00am - 5.59am,1
08/05/2015,Friday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00am - 8.59am,0
09/05/2015,Saturday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,56.79,-5.03,9.00am - 11.59am,2
09/05/2015,Saturday,Portland,Aborted/Not Required,Coast,Stood down,South West,50.42,-3.55,12.00pm - 2.59pm,0
09/05/2015,Saturday,Portland,Rescue/Recovery,Coast,Completed,South West,50.59,-2,3.00pm - 5.59pm,1
09/05/2015,Saturday,Sumburgh,Rescue/Recovery,Maritime,Completed,North Eastern Scotland,57.99,0.85,12.00am - 2.59am,2
09/05/2015,Saturday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,57.23,-5.18,9.00am - 11.59am,2
09/05/2015,Saturday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,57.86,-4.87,3.00pm - 5.59pm,3
10/05/2015,Sunday,Humberside,Rescue/Recovery,Maritime,Completed,Yorkshire and the Humber,53.89,0.31,6.00pm - 8.59pm,1
10/05/2015,Sunday,Lee On Solent,Aborted/Not Required,Coast,Not Required,South East,50.78,0.05,9.00am - 11.59am,0
11/05/2015,Monday,Inverness,Rescue/Recovery,Maritime,Completed,North Eastern Scotland,57.37,1.99,12.00am - 2.59am,4
12/05/2015,Tuesday,Humberside,Rescue/Recovery,Maritime,Completed,East Midlands,53.29,0.53,6.00am - 8.59am,2
12/05/2015,Tuesday,Portland,Aborted/Not Required,Coast,Stood down,South West,51.34,-3,6.00pm - 8.59pm,0
13/05/2015,Wednesday,Lee On Solent,Rescue/Recovery,Coast,Completed,South East,50.84,-1.3,6.00am - 8.59am,2
13/05/2015,Wednesday,Stornoway,Rescue/Recovery,Coast,Completed,Highlands and Islands,56.33,-6.39,6.00am - 8.59am,3
13/05/2015,Wednesday,Stornoway,Rescue/Recovery,Coast,Completed,Highlands and Islands,57.39,-7.44,6.00pm - 8.59pm,1
15/05/2015,Friday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,12.00am - 2.59am,0
15/05/2015,Friday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00pm - 8.59pm,0
15/05/2015,Friday,Portland,Rescue/Recovery,Maritime,Completed,South West,50.15,-2.38,12.00pm - 2.59pm,2
15/05/2015,Friday,Inverness,Rescue/Recovery,Coast,Completed,Highlands and Islands,57.67,-3.08,3.00pm - 5.59pm,1
16/05/2015,Saturday,Inverness,Search only,Land,Completed,Highlands and Islands,57.51,-4.07,6.00pm - 8.59pm,0
16/05/2015,Saturday,Portland,Aborted/Not Required,Coast,Aborted,South West,50.6,-2.25,3.00pm - 5.59pm,1
16/05/2015,Saturday,Stornoway,Search only,Land,Completed,Highlands and Islands,57.02,-6.28,3.00am - 5.59am,2
17/05/2015,Sunday,Stornoway,Aborted/Not Required,Maritime,Completed,Highlands and Islands,58.83,-6.83,3.00pm - 5.59pm,0
17/05/2015,Sunday,Inverness,Rescue/Recovery,Maritime,Completed,North Eastern Scotland,57.82,-0.97,12.00pm - 2.59pm,2
17/05/2015,Sunday,Lee On Solent,Rescue/Recovery,Coast,Completed,South East,50.73,0.24,3.00pm - 5.59pm,1
18/05/2015,Monday,Stornoway,Rescue/Recovery,Coast,Completed,Highlands and Islands,57.96,-5.2,12.00pm - 2.59pm,2
19/05/2015,Tuesday,Stornoway,Aborted/Not Required,Land,Completed,Highlands and Islands,57.23,-6.24,12.00pm - 2.59pm,2
19/05/2015,Tuesday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,60.63,1.66,9.00am - 11.59am,2
20/05/2015,Wednesday,Inverness,Aborted/Not Required,Coast,Completed,Eastern Scotland,56.33,-2.77,3.00pm - 5.59pm,2
20/05/2015,Wednesday,Humberside,Support,Coast,Completed,East of England,53.03,0.71,9.00pm - 11.59pm,1
20/05/2015,Wednesday,Lee On Solent,Aborted/Not Required,Coast,Stood down,South East,50.8,-0.95,9.00am - 11.59am,0
21/05/2015,Thursday,Inverness,Rescue/Recovery,Coast,Completed,Highlands and Islands,57.68,-3,9.00pm - 11.59pm,5
22/05/2015,Friday,Humberside,Rescue/Recovery,Maritime,Completed,East of England,53.24,2.57,9.00am - 11.59am,2
22/05/2015,Friday,Portland,Rescue/Recovery,Coast,Completed,South West,50.58,-3.34,3.00pm - 5.59pm,1
22/05/2015,Friday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,58.21,-6.19,6.00pm - 8.59pm,5
23/05/2015,Saturday,Portland,Aborted/Not Required,Maritime,Stood down,South West,50.56,-2.29,3.00pm - 5.59pm,0
23/05/2015,Saturday,Humberside,Rescue/Recovery,Land,Completed,East Midlands,53.4,-1.71,6.00pm - 8.59pm,2
23/05/2015,Saturday,Inverness,Aborted/Not Required,Land,Stood down,Highlands and Islands,57.34,-4.41,9.00am - 11.59am,0
23/05/2015,Saturday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,56.8,-5.04,3.00pm - 5.59pm,1
23/05/2015,Saturday,Portland,Rescue/Recovery,Land,Completed,South West,50.63,-2.47,6.00pm - 8.59pm,1
24/05/2015,Sunday,Portland,Search only,Maritime,Completed,South East,50.34,-1.5,12.00pm - 2.59pm,1
24/05/2015,Sunday,Portland,Search only,Maritime,Completed,South West,50.49,-1.92,3.00pm - 5.59pm,2
24/05/2015,Sunday,Portland,Search only,Maritime,Completed,South West,50.52,-2.16,6.00pm - 8.59pm,1
24/05/2015,Sunday,Lee On Solent,Search only,Coast,Completed,South East,50.78,-0.95,3.00pm - 5.59pm,0
24/05/2015,Sunday,Lee On Solent,Search only,Maritime,Completed,South West,50.51,-2.07,6.00pm - 8.59pm,2
24/05/2015,Sunday,Inverness,Aborted/Not Required,Coast,Stood down,Eastern Scotland,56.19,-2.85,12.00pm - 2.59pm,0
25/05/2015,Monday,Lee On Solent,Rescue/Recovery,Coast,Completed,South East,50.77,-1.1,9.00pm - 11.59pm,3
25/05/2015,Monday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,56.43,-6.05,12.00pm - 2.59pm,3
25/05/2015,Monday,Stornoway,Aborted/Not Required,Maritime,Stood down,Highlands and Islands,56.91,-7.1,9.00pm - 11.59pm,0
26/05/2015,Tuesday,Portland,Rescue/Recovery,Coast,Completed,South West,50.7,-3.08,12.00pm - 2.59pm,1
26/05/2015,Tuesday,Humberside,Rescue/Recovery,Land,Completed,North West,53.67,-2.51,3.00pm - 5.59pm,2
26/05/2015,Tuesday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.12,1.72,6.00am - 8.59am,2
26/05/2015,Tuesday,Stornoway,Search only,Coast,Completed,Highlands and Islands,58.27,-6.32,6.00pm - 8.59pm,6
27/05/2015,Wednesday,Stornoway,Aborted/Not Required,Coast,Completed,Highlands and Islands,58.27,-6.32,6.00am - 8.59am,0
27/05/2015,Wednesday,Stornoway,Search only,Coast,Completed,Highlands and Islands,58.22,-6.16,9.00am - 11.59am,2
27/05/2015,Wednesday,Sumburgh,Rescue/Recovery,Land,Completed,Highlands and Islands,60.75,-0.85,6.00am - 8.59am,1
27/05/2015,Wednesday,Inverness,Aborted/Not Required,Coast,Stood down,Highlands and Islands,58.22,-6.33,6.00am - 8.59am,0
27/05/2015,Wednesday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,57.56,-5.45,3.00pm - 5.59pm,2
28/05/2015,Thursday,Portland,Rescue/Recovery,Land,Completed,South West,50.79,-2.71,12.00pm - 2.59pm,2
28/05/2015,Thursday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,57.22,-6.09,12.00pm - 2.59pm,2
29/05/2015,Friday,Lee On Solent,Rescue/Recovery,Maritime,Completed,South East,50.52,-1.23,3.00pm - 5.59pm,1
29/05/2015,Friday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,56.81,-4.99,9.00am - 11.59am,1
29/05/2015,Friday,Inverness,Aborted/Not Required,Coast,Completed,Highlands and Islands,56.86,-5.77,3.00pm - 5.59pm,4
30/05/2015,Saturday,Inverness,Pre-arranged transfer,Coast,Completed,Highlands and Islands,57.25,-5.83,12.00am - 2.59am,2
30/05/2015,Saturday,Inverness,Search only,Coast,Completed,Eastern Scotland,56.45,-3.02,9.00am - 11.59am,3
30/05/2015,Saturday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,3.00am - 5.59am,1
30/05/2015,Saturday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00pm - 8.59pm,2
30/05/2015,Saturday,Stornoway,Aborted/Not Required,Land,Completed,Highlands and Islands,56.83,-5.07,12.00pm - 2.59pm,0
30/05/2015,Saturday,Stornoway,Rescue/Recovery,Coast,Completed,Highlands and Islands,58.37,-5.2,12.00pm - 2.59pm,3
31/05/2015,Sunday,Stornoway,Aborted/Not Required,Land,Stood down,Highlands and Islands,57.89,-4.31,9.00am - 11.59am,0
31/05/2015,Sunday,Sumburgh,Aborted/Not Required,Land,Stood down,Highlands and Islands,58.99,-2.93,12.00am - 2.59am,2
31/05/2015,Sunday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,59.35,1.54,6.00am - 8.59am,1
31/05/2015,Sunday,Lee On Solent,Aborted/Not Required,Land,Stood down,South West,50.87,-1.99,6.00pm - 8.59pm,0
31/05/2015,Sunday,Inverness,Search only,Land,Completed,Highlands and Islands,56.73,-4.98,6.00am - 8.59am,5
31/05/2015,Sunday,Inverness,Support,Land,Completed,Highlands and Islands,56.75,-5,12.00pm - 2.59pm,2
31/05/2015,Sunday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,57.63,-5.19,3.00pm - 5.59pm,2
31/05/2015,Sunday,Inverness,Rescue/Recovery,Land,Completed,Eastern Scotland,56.25,-3.27,6.00pm - 8.59pm,3
01/06/2015,Monday,Inverness,Search only,Land,Completed,North Eastern Scotland,56.99,-3.49,12.00am - 2.59am,1
01/06/2015,Monday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.12,1.73,9.00am - 11.59am,2
01/06/2015,Monday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,57.68,-5.59,3.00pm - 5.59pm,1
01/06/2015,Monday,Humberside,Rescue/Recovery,Maritime,Completed,Yorkshire and the Humber,53.64,0.37,6.00am - 8.59am,1
03/06/2015,Wednesday,Stornoway,Rescue/Recovery,Maritime,Completed,Highlands and Islands,56.61,-7.27,3.00pm - 5.59pm,4
03/06/2015,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,59.61,-3.99,6.00pm - 8.59pm,2
03/06/2015,Wednesday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,12.00am - 2.59am,0
03/06/2015,Wednesday,Lee On Solent,Support,Coast,Completed,South East,50.63,-1.08,9.00am - 11.59am,0
03/06/2015,Wednesday,Lee On Solent,Support,Coast,Completed,South East,50.63,-1.08,12.00pm - 2.59pm,1
03/06/2015,Wednesday,Lee On Solent,Support,Maritime,Completed,SouthEast,50.63,-1.08,3.00pm - 5.59pm,0
04/06/2015,Thursday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,12.00am - 2.59am,0
04/06/2015,Thursday,Lee On Solent,Rescue/Recovery,Coast,Completed,South East,50.74,0.18,12.00pm - 2.59pm,2
04/06/2015,Thursday,Sumburgh,Rescue/Recovery,Land,Completed,Highlands and Islands,59.25,-2.58,6.00pm - 8.59pm,1
04/06/2015,Thursday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,58.12,-5.12,12.00pm - 2.59pm,3
04/06/2015,Thursday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,58.51,-3.49,9.00am - 11.59am,1
05/06/2015,Friday,Humberside,Rescue/Recovery,Maritime,Completed,East of England,54.57,2.29,12.00pm - 2.59pm,2
