,Date,Day_of_week,Name_of_the_Base,Type_of_tasking,Tasking_location,Tasking_outcome,Region,Latitude,Longitude,Time_of_day,Duration
46,12/04/2015,Sunday,Lee On Solent,Search only,Coast,Completed,South West,50.72,-1.8,12.00pm - 2.59pm,0
47,12/04/2015,Sunday,Lee On Solent,Rescue/Recovery,Coast,Completed,South West,50.62,-1.96,3.00pm - 5.59pm,1
48,12/04/2015,Sunday,Humberside,Rescue/Recovery,Maritime,Completed,East of England,52.93,1.89,9.00pm - 11.59pm,3
49,13/04/2015,Monday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,9.00am - 11.59am,0
50,14/04/2015,Tuesday,Inverness,Rescue/Recovery,Maritime,Completed,Highlands and Islands,58.05,1.4,6.00am - 8.59am,2
51,14/04/2015,Tuesday,Inverness,Search only,Land,Completed,Highlands and Islands,57.52,-3.18,6.00am - 8.59am,1
52,14/04/2015,Tuesday,Sumburgh,Aborted/Not Required,Land,Completed,Highlands and Islands,60.51,-1.33,3.00pm - 5.59pm,0
53,15/04/2015,Wednesday,Portland,Rescue/Recovery,Coast,Completed,South West,50.62,-1.96,12.00pm - 2.59pm,1
54,16/04/2015,Thursday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,12.00pm - 2.59pm,1
55,17/04/2015,Friday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,12.00am - 2.59am,1
56,17/04/2015,Friday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,9.00pm - 11.59pm,0
57,17/04/2015,Friday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,57.26,-5.56,3.00pm - 5.59pm,2
58,17/04/2015,Friday,Stornoway,Rescue/Recovery,Maritime,Completed,Highlands and Islands,58.26,-8.67,6.00pm - 8.59pm,1
59,18/04/2015,Saturday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,12.00am - 2.59am,0
60,18/04/2015,Saturday,Lee On Solent,Rescue/Recovery,Coast,Completed,South East,50.88,0.67,6.00pm - 8.59pm,2
61,18/04/2015,Saturday,Lee On Solent,Search only,Maritime,Completed,SouthEast,50.79,-1.25,9.00pm - 11.59pm,3
62,18/04/2015,Saturday,Portland,Rescue/Recovery,Coast,Completed,South West,51.4,-2.93,9.00am - 11.59am,1
63,18/04/2015,Saturday,Inverness,Rescue/Recovery,Maritime,Completed,Yorkshire and the Humber,56.96,1.87,6.00am - 8.59am,3
64,19/04/2015,Sunday,Portland,Aborted/Not Required,Coast,Stood down,South West,50.38,-3.47,12.00pm - 2.59pm,0
65,19/04/2015,Sunday,Portland,Rescue/Recovery,Coast,Completed,South West,50.58,-2.03,12.00pm - 2.59pm,1
66,19/04/2015,Sunday,Lee On Solent,Search only,Coast,Completed,South East,50.79,-1.25,3.00am - 5.59am,2
67,19/04/2015,Sunday,Humberside,Rescue/Recovery,Maritime,Completed,East of England,53.37,1.77,9.00pm - 11.59pm,2
68,20/04/2015,Monday,Humberside,Rescue/Recovery,Maritime,Completed,Yorkshire and the Humber,53.83,0.39,6.00pm - 8.59pm,1
69,20/04/2015,Monday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00pm - 8.59pm,0
70,20/04/2015,Monday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.05,1.71,9.00am - 11.59am,2
71,21/04/2015,Tuesday,Humberside,Rescue/Recovery,Land,Completed,East Midlands,53.35,-1.81,9.00am - 11.59am,1
72,21/04/2015,Tuesday,Inverness,Search only,Land,Completed,Highlands and Islands,58.65,-3.25,12.00am - 2.59am,2
73,22/04/2015,Wednesday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,57.03,-4.85,3.00pm - 5.59pm,2
74,24/04/2015,Friday,Sumburgh,Aborted/Not Required,Land,Stood down,Highlands and Islands,60.5,-1.5,12.00pm - 2.59pm,0
75,24/04/2015,Friday,Stornoway,Search only,Land,Completed,Highlands and Islands,57.2,-6.23,12.00am - 2.59am,1
76,24/04/2015,Friday,Stornoway,Search only,Land,Completed,Highlands and Islands,57.2,-6.22,3.00am - 5.59am,3
77,24/04/2015,Friday,Stornoway,Search only,Coast,Completed,Highlands and Islands,57.89,-5.45,3.00pm - 5.59pm,1
78,25/04/2015,Saturday,Humberside,Aborted/Not Required,Coast,Stood down,East of England,52.94,0.49,9.00am - 11.59am,0
79,25/04/2015,Saturday,Inverness,Rescue/Recovery,Coast,Completed,Highlands and Islands,56.68,-5.65,12.00pm - 2.59pm,2
80,25/04/2015,Saturday,Portland,Rescue/Recovery,Maritime,Completed,South West,50.34,-2.2,9.00am - 11.59am,1
81,26/04/2015,Sunday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,12.00am - 2.59am,0
82,26/04/2015,Sunday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00am - 8.59am,1
83,26/04/2015,Sunday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,56.65,-5.07,9.00am - 11.59am,4
84,26/04/2015,Sunday,Portland,Rescue/Recovery,Coast,Completed,South West,50.6,-1.94,9.00am - 11.59am,1
85,26/04/2015,Sunday,Portland,Rescue/Recovery,Land,Completed,South West,50.32,-3.94,12.00pm - 2.59pm,1
86,27/04/2015,Monday,Portland,Rescue/Recovery,Coast,Completed,South West,50.71,-2.78,12.00pm - 2.59pm,1
87,27/04/2015,Monday,Portland,Rescue/Recovery,Maritime,Completed,South East,50.23,-0.98,3.00pm - 5.59pm,2
88,27/04/2015,Monday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,59.35,1.55,3.00am - 5.59am,2
89,27/04/2015,Monday,Inverness,Search only,Land,Completed,Highlands and Islands,57.47,-4.28,12.00pm - 2.59pm,1
90,27/04/2015,Monday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00pm - 8.59pm,0
91,28/04/2015,Tuesday,Lee On Solent,Aborted/Not Required,Coast,Not Required,South East,50.67,-1.0,6.00pm - 8.59pm,0
92,28/04/2015,Tuesday,Portland,Aborted/Not Required,Land,Stood down,South East,50.75,0.25,3.00pm - 5.59pm,0
93,28/04/2015,Tuesday,Humberside,Aborted/Not Required,Land,Stood down,East of England,52.6,-0.48,3.00pm - 5.59pm,0
94,28/04/2015,Tuesday,Inverness,Rescue/Recovery,Land,Completed,North Eastern Scotland,57.07,-2.77,3.00am - 5.59am,2
95,28/04/2015,Tuesday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,57.23,-5.12,6.00pm - 8.59pm,1
96,29/04/2015,Wednesday,Humberside,Rescue/Recovery,Maritime,Completed,East of England,53.46,1.73,12.00am - 2.59am,2
97,29/04/2015,Wednesday,Sumburgh,Search only,Coast,Completed,Highlands and Islands,60.13,-1.27,3.00am - 5.59am,2
98,29/04/2015,Wednesday,Lee On Solent,Rescue/Recovery,Coast,Completed,South East,50.76,-0.94,12.00pm - 2.59pm,0
99,30/04/2015,Thursday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00am - 8.59am,0
100,30/04/2015,Thursday,Sumburgh,Rescue/Recovery,Maritime,Completed,North Eastern Scotland,58.19,0.14,12.00pm - 2.59pm,2
101,30/04/2015,Thursday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.63,1.34,9.00pm - 11.59pm,3
102,30/04/2015,Thursday,Stornoway,Pre-arranged transfer,Land,Completed,Highlands and Islands,56.62,-6.62,6.00am - 8.59am,4
103,01/05/2015,Friday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,57.25,-6.18,6.00pm - 8.59pm,1
104,01/05/2015,Friday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.26,1.58,12.00am - 2.59am,2
105,01/05/2015,Friday,Inverness,Rescue/Recovery,Maritime,Completed,North Eastern Scotland,58.06,1.08,3.00pm - 5.59pm,4
106,01/05/2015,Friday,Lee On Solent,Rescue/Recovery,Maritime,Completed,South East,50.62,0.61,6.00am - 8.59am,1
107,01/05/2015,Friday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,9.00pm - 11.59pm,0
108,02/05/2015,Saturday,Portland,Aborted/Not Required,Land,Stood down,South West,50.4,-3.5,9.00am - 11.59am,0
109,02/05/2015,Saturday,Portland,Pre-arranged transfer,Land,Completed,South West,49.43,-2.6,3.00pm - 5.59pm,5
110,03/05/2015,Sunday,Portland,Rescue/Recovery,Land,Completed,South West,50.65,-2.07,12.00pm - 2.59pm,1
111,03/05/2015,Sunday,Portland,Aborted/Not Required,Coast,Stood down,South West,50.71,-1.97,12.00pm - 2.59pm,0
112,03/05/2015,Sunday,Inverness,Search only,Land,Completed,Eastern Scotland,56.46,-3.23,9.00am - 11.59am,5
113,03/05/2015,Sunday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.03,-1.13,12.00pm - 2.59pm,5
114,04/05/2015,Monday,Humberside,Rescue/Recovery,Land,Completed,East Midlands,53.13,-1.56,9.00am - 11.59am,2
115,05/05/2015,Tuesday,Inverness,Search only,Land,Completed,Highlands and Islands,56.83,-5.1,9.00am - 11.59am,2
116,05/05/2015,Tuesday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,3.00am - 5.59am,1
117,06/05/2015,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,59.55,1.54,12.00pm - 2.59pm,2
118,06/05/2015,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,60.32,-4.28,3.00pm - 5.59pm,2
119,07/05/2015,Thursday,Humberside,Aborted/Not Required,Land,Stood down,East Midlands,53.09,-0.17,3.00pm - 5.59pm,0
120,08/05/2015,Friday,Inverness,Search only,Land,Completed,Highlands and Islands,57.55,-2.95,3.00am - 5.59am,1
121,08/05/2015,Friday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00am - 8.59am,0
122,09/05/2015,Saturday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,56.79,-5.03,9.00am - 11.59am,2
123,09/05/2015,Saturday,Portland,Aborted/Not Required,Coast,Stood down,South West,50.42,-3.55,12.00pm - 2.59pm,0
124,09/05/2015,Saturday,Portland,Rescue/Recovery,Coast,Completed,South West,50.59,-2.0,3.00pm - 5.59pm,1
125,09/05/2015,Saturday,Sumburgh,Rescue/Recovery,Maritime,Completed,North Eastern Scotland,57.99,0.85,12.00am - 2.59am,2
126,09/05/2015,Saturday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,57.23,-5.18,9.00am - 11.59am,2
127,09/05/2015,Saturday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,57.86,-4.87,3.00pm - 5.59pm,3
128,10/05/2015,Sunday,Humberside,Rescue/Recovery,Maritime,Completed,Yorkshire and the Humber,53.89,0.31,6.00pm - 8.59pm,1
129,10/05/2015,Sunday,Lee On Solent,Aborted/Not Required,Coast,Not Required,South East,50.78,0.05,9.00am - 11.59am,0
130,11/05/2015,Monday,Inverness,Rescue/Recovery,Maritime,Completed,North Eastern Scotland,57.37,1.99,12.00am - 2.59am,4
131,12/05/2015,Tuesday,Humberside,Rescue/Recovery,Maritime,Completed,East Midlands,53.29,0.53,6.00am - 8.59am,2
132,12/05/2015,Tuesday,Portland,Aborted/Not Required,Coast,Stood down,South West,51.34,-3.0,6.00pm - 8.59pm,0
